"pattern","rank","gene","weight"
"Pattern5",11,"HLA-DPA1",4.13978624343872
"Pattern5",12,"HLA-DPB1",4.09753894805908
"Pattern5",13,"B2M",4.06220817565918
"Pattern5",14,"MT-CO3",4.03683090209961
"Pattern5",15,"MT-ND3",3.95633578300476
"Pattern5",16,"MT-ND4L",3.83366584777832
"Pattern5",17,"MT-CYB",3.73710155487061
"Pattern5",18,"HLA-B",3.7303318977356
"Pattern5",19,"PTMA",3.52556180953979
"Pattern5",20,"RPLP0",3.45332050323486
"Pattern5",21,"RPS2",3.42620539665222
"Pattern5",22,"TMSB10",3.37578296661377
"Pattern5",23,"ACTB",3.34767627716064
"Pattern5",24,"HLA-DRB5",3.28319025039673
"Pattern5",25,"MT-ND1",3.17642140388489
"Pattern5",26,"MT-ND4",3.09899497032166
"Pattern5",27,"FTL",3.08229613304138
"Pattern5",28,"CD37",3.05038738250732
"Pattern5",29,"TMSB4X",2.93279647827148
"Pattern5",30,"HLA-DQA1",2.88697218894958
"Pattern5",31,"HLA-A",2.88602709770203
"Pattern5",32,"HLA-DQB1",2.87965106964111
"Pattern5",33,"MTRNR2L12",2.78992795944214
"Pattern5",34,"FTH1",2.70483875274658
"Pattern5",35,"AC090498.1",2.64127683639526
"Pattern5",36,"PPIA",2.58093237876892
"Pattern5",37,"MT-ND2",2.42194223403931
"Pattern5",38,"H3F3A",2.39715218544006
"Pattern5",39,"H3F3B",2.13187003135681
"Pattern5",40,"PFN1",2.04955959320068
"Pattern5",41,"CD52",2.01537847518921
"Pattern5",42,"TAGLN2",1.95466530323029
"Pattern5",43,"CD79A",1.9507360458374
"Pattern5",44,"JUNB",1.86055517196655
"Pattern5",45,"OAZ1",1.85505700111389
"Pattern5",46,"ARPC3",1.72130131721497
"Pattern5",47,"UBC",1.69554591178894
"Pattern5",48,"CYBA",1.605712890625
"Pattern5",49,"EZR",1.58987951278687
"Pattern5",50,"HMGB1",1.51734459400177
