"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5"
"NEXN",0.00585153885185719,0.0347070768475533,0.292243540287018,3.16838986691437e-06,0.0136598516255617
"DNAJB4",0.0284798461943865,0.0540588907897472,0.215192928910255,0.0899551808834076,0.0121039915829897
"RP11-386I14.4",0.0342668294906616,0.060769360512495,0.311596214771271,0,0.071020670235157
"IFI44L",0.232065305113792,0.25357848405838,0.489195346832275,9.13808946734207e-07,0.0983712449669838
"IFI44",0.172021687030792,0.195944562554359,0.489564180374146,5.35638127985294e-06,0.0600020512938499
"RP5-887A10.1",4.49642320745625e-05,3.41759550792631e-05,8.88092927198159e-06,4.27409850090044e-06,0.139681652188301
"TTLL7",0.000255947175901383,0.00385351083241403,0.0174391455948353,0.000368174311006442,0.000309294613543898
"GNG5",0.488333463668823,0.944017589092255,1.58230912685394,0.405608147382736,0.646277666091919
"LPAR3",0.000106492028862704,5.09515775775071e-05,0.018416790291667,0.000332219991832972,0.000188979422091506
"MCOLN2",1.36759217639337e-06,0.0916255116462708,0.0615948960185051,0.0927284210920334,0.142919942736626
"WDR63",9.76836963673122e-05,0.00182548048906028,0.00128611375112087,0.00030734806205146,0.00221816007979214
"MCOLN3",0.000898677681107074,7.1144531830214e-05,0.000220702757360414,0.000355504482286051,0.00079012691276148
"COL24A1",9.37332006287761e-05,5.73100514884572e-05,0.0240333564579487,0.000481858907733113,0.00198385259136558
"LMO4",0.0800884887576103,0.253551125526428,0.313833087682724,0.0531589388847351,0.149968519806862
"GTF2B",0.302907735109329,0.229107946157455,0.24209389090538,0.518292367458344,0.324695289134979
"GBP3",0.0912963077425957,0.186618760228157,0.281978160142899,3.70278563366355e-08,0.0296749919652939
"GBP1",0.219659149646759,0.297071874141693,0.536937117576599,6.70816177716915e-07,7.79862693889299e-06
"GBP2",0.36447936296463,0.407963156700134,0.585926353931427,0.176953390240669,4.03167086915346e-06
"GBP4",0.243418157100677,0.340182691812515,0.3925441801548,0.0809287428855896,0.149564310908318
"GBP5",0.1871727257967,0.729158818721771,0.387998431921005,0.0730767101049423,5.04180425195955e-05
"LRRC8B",0.0608792155981064,0,0.165008544921875,0.115304909646511,0.0705007687211037
"LRRC8D",0.186549872159958,0.0307947620749474,0.194385766983032,0.0238943658769131,0.114031508564949
"CDC7",0.037036769092083,0.0413921810686588,0.00223341607488692,0.000676094670780003,0.00970513466745615
"TGFBR3",0.0515784025192261,0.601537585258484,5.26875010109507e-06,0.142574116587639,4.86513772557373e-06
"KIAA1107",0.000486496719531715,0.00012402304855641,0.0115143423900008,0.000607423367910087,0.000232405174756423
"EVI5",2.66878287220607e-05,0,0.356370836496353,0.000169281047419645,0.101414501667023
"FAM69A",0.122402861714363,0.0559515506029129,7.92475657362957e-06,0.0528249368071556,0.110070884227753
"FNBP1L",0.000606353743933141,3.5512766771717e-05,0.0349056459963322,0.019386800006032,0.0466330982744694
"BCAR3",1.7988236322708e-07,0,0.0864075273275375,0.0330696105957031,0.0757853910326958
"F3",0,0,0.0866962149739265,0.0167689770460129,2.3148591935751e-05
"ALG14",0.032431423664093,0.0336508080363274,0.0612669661641121,3.22372244454527e-07,0.0293915718793869
"TMEM56",0.000235255545703694,6.57357886666432e-05,0.000236000239965506,0.000298131053568795,0.0013021391350776
"RP5-884G6.2",0.000123347243061289,0.000282647059066221,0.00147362693678588,9.87406529020518e-05,0.0013853507116437
"RTCA-AS1",0.012366458773613,0.000279798550764099,0.0296619683504105,5.3095216571819e-05,0.000493338273372501
"RTCA",0.197056949138641,0.230703726410866,0.212427988648415,0.0700032562017441,0.0974575057625771
