scope,stratum,subject,timepoint_merged,day_merged_numeric,gene,n_cells,total_counts,gene_counts,cpm,log2_cpm
all_cells,all_cells,Subject2,D0,0.0,GNG5,5383,13814270.0,8024.0,580.8486441918393,9.184500104639692
all_cells,all_cells,Subject2,D0,0.0,MTRNR2L8,5383,13814270.0,932.0,67.46646764541305,6.0973256770281825
all_cells,all_cells,Subject2,D0,0.0,CD52,5383,13814270.0,22982.0,1663.642016552449,10.700996241854526
all_cells,all_cells,Subject2,D0,0.0,RPLP0,5383,13814270.0,98960.0,7163.606907929264,12.80667183666684
all_cells,all_cells,Subject2,D0,0.0,RPS2,5383,13814270.0,108918.0,7884.455711376715,12.944978417426173
all_cells,all_cells,Subject2,D0,0.0,IL32,5383,13814270.0,16457.0,1191.304354120775,10.219536837688393
all_cells,all_cells,Subject2,D0,0.0,FOS,5383,13814270.0,11366.0,822.7723940533955,9.68610196974444
all_cells,all_cells,Subject2,D0,0.0,JUN,5383,13814270.0,12914.0,934.8304325889098,9.870103334727718
all_cells,all_cells,Subject2,D0,0.0,AC090498.1,5383,13814270.0,95827.0,6936.812441048279,12.760265123552871
all_cells,all_cells,Subject2,D0,0.0,MT-ND1,5383,13814270.0,79509.0,5755.570145943289,12.490993772152045
all_cells,all_cells,Subject2,D0,0.0,CCR7,5383,13814270.0,40088.0,2901.9267757181524,11.50329246612007
all_cells,all_cells,Subject2,D0,0.0,S100A4,5383,13814270.0,29935.0,2166.9621340830895,11.082123843269175
all_cells,all_cells,Subject2,D0,0.0,PSAP,5383,13814270.0,12615.0,913.1861473679029,9.836344147772628
all_cells,all_cells,Subject2,D0,0.0,NKG7,5383,13814270.0,9934.0,719.1114695166665,9.492076435317843
all_cells,all_cells,Subject2,D0,0.0,CST7,5383,13814270.0,4364.0,315.90521974740614,8.307907612327561
all_cells,all_cells,Subject2,D0,0.0,CCL5,5383,13814270.0,10843.0,784.912992145079,9.618225791382027
all_cells,all_cells,Subject2,D0,0.0,GNLY,5383,13814270.0,9955.0,720.6316367061017,9.495118778255076
all_cells,all_cells,Subject2,D0,0.0,CTSW,5383,13814270.0,3038.0,219.91752007163606,7.787364027291659
all_cells,all_cells,Subject2,D0,0.0,HCST,5383,13814270.0,9034.0,653.9614471122976,9.355266177803674
all_cells,all_cells,Subject2,D0,0.0,HLA-DRA,5383,13814270.0,34698.0,2511.7505304297656,11.29505173010375
all_cells,all_cells,Subject2,D0,0.0,HLA-DRB1,5383,13814270.0,23139.0,1675.0070760163221,10.71081252469703
all_cells,all_cells,Subject2,D0,0.0,HLA-DPB1,5383,13814270.0,12312.0,891.2523064917654,9.801307915452139
all_cells,all_cells,Subject2,D0,0.0,HLA-DPA1,5383,13814270.0,11818.0,855.4921830831453,9.742296269150382
all_cells,all_cells,Subject2,D0,0.0,HLA-DRB5,5383,13814270.0,10613.0,768.2635419750736,9.587334125497431
all_cells,all_cells,Subject2,D2,2.0,VIM,4187,10749595.0,154590.0,14381.006912353443,13.811977387765896
all_cells,all_cells,Subject2,D2,2.0,FTH1,4187,10749595.0,232245.0,21605.00000232567,14.399144385066728
all_cells,all_cells,Subject2,D2,2.0,EEF1A1,4187,10749595.0,445044.0,41401.001619130766,15.33741289742351
all_cells,all_cells,Subject2,D2,2.0,B2M,4187,10749595.0,187493.0,17441.86641450213,14.090349519560124
all_cells,all_cells,Subject2,D2,2.0,MT-CO2,4187,10749595.0,212358.0,19754.976815405604,14.270001560307023
all_cells,all_cells,Subject2,D2,2.0,MT-CO1,4187,10749595.0,209027.0,19445.10467603663,14.247193571913341
all_cells,all_cells,Subject2,D2,2.0,MT-ATP6,4187,10749595.0,167019.0,15537.23651914328,13.923535156818001
all_cells,all_cells,Subject2,D2,2.0,MT-CYB,4187,10749595.0,115886.0,10780.499172294398,13.396270178980783
all_cells,all_cells,Subject2,D2,2.0,RPS12,4187,10749595.0,265138.0,24664.929236868924,14.590232018398986
all_cells,all_cells,Subject2,D2,2.0,MT-CO3,4187,10749595.0,174174.0,16202.842990828956,13.984048390579435
all_cells,all_cells,Subject2,D2,2.0,MALAT1,4187,10749595.0,612331.0,56963.16931009959,15.79776712316544
all_cells,all_cells,Subject2,D2,2.0,ANXA1,4187,10749595.0,33879.0,3151.6536204387235,11.622350955626487
all_cells,all_cells,Subject2,D2,2.0,MT-ND3,4187,10749595.0,123892.0,11525.27141720223,13.492638276939287
all_cells,all_cells,Subject2,D2,2.0,TMSB4X,4187,10749595.0,106065.0,9866.883357000892,13.268524947070397
all_cells,all_cells,Subject2,D2,2.0,HLA-B,4187,10749595.0,95330.0,8868.241082571018,13.114594946882546
all_cells,all_cells,Subject2,D2,2.0,S100A10,4187,10749595.0,29439.0,2738.614803627486,11.419757345744822
all_cells,all_cells,Subject2,D2,2.0,TAGLN2,4187,10749595.0,35558.0,3307.8455513905405,11.692112236498925
all_cells,all_cells,Subject2,D2,2.0,GAPDH,4187,10749595.0,27909.0,2596.283859996586,11.342787981015695
all_cells,all_cells,Subject2,D2,2.0,RPS8,4187,10749595.0,199863.0,18592.607442419925,14.182519081726516
