pattern,scope,stratum,timepoint_merged,day_merged_numeric,n_genes_tested,mean_gene_log2fc,median_gene_log2fc,n_genes_up,n_genes_down,n_genes_near_zero,frac_genes_up,frac_genes_down,pattern_direction_consensus,pattern_class,peak_timepoint,eta_timepoint,eta_broad_cell_type,spearman_ifn_score_rho
Pattern1,cell_type,B_cell,D14/15,14.5,25,-0.28741619282122616,-0.36285408866051344,3,14,8,0.12,0.56,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,B_cell,D28,28.0,25,-0.1487643111487083,-0.15007416480553046,0,8,17,0.0,0.32,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern10,cell_type,B_cell,D2,2.0,25,0.010069616260595566,0.010408469486830422,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,B_cell,D4,4.0,25,-0.04592490882234095,-0.04222283139104851,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,B_cell,D6,6.0,25,0.0003637703387540614,0.0037337530825123366,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,B_cell,D8,8.0,25,-0.009515237441031062,0.003777942474195939,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,B_cell,D10,10.0,25,-0.17695879149350202,-0.18010633284160882,1,10,14,0.04,0.4,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,B_cell,D14/15,14.5,25,-0.2601716576866748,-0.21389568868665046,2,12,11,0.08,0.48,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,B_cell,D28,28.0,25,-0.05725321015758406,-0.04534680341895599,0,5,20,0.0,0.2,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern2,cell_type,B_cell,D2,2.0,25,-0.043430680881936586,-0.025781419775012655,0,3,22,0.0,0.12,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,B_cell,D4,4.0,25,-0.09990284131720094,-0.06963621734922872,1,4,20,0.04,0.16,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,B_cell,D6,6.0,25,-0.07650515495590862,-0.03483784674533356,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,B_cell,D8,8.0,25,-0.05380227661099891,-0.054642775447371505,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,B_cell,D10,10.0,25,-0.03174588942638486,-0.09349501381260931,5,7,13,0.2,0.28,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,B_cell,D14/15,14.5,25,-0.19732352308959789,-0.326975649823997,4,13,8,0.16,0.52,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,B_cell,D28,28.0,25,-0.09710614823204672,-0.15007416480553046,1,6,18,0.04,0.24,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern3,cell_type,B_cell,D2,2.0,25,-0.042676705171196344,-0.03659009253250112,1,2,22,0.04,0.08,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
