pattern,broad_cell_type,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern4,T_cell,3,3,2669,0.1392572253174986,0.11045018155148008,0.16087945635899376,0.019594826164696138,0.23729739342880593,0.06376844205079006,2669,0.16219911854069197,0.130420431494713
Pattern5,B_cell,3,3,420,0.1254243329104141,0.04071346736942917,0.12464718948732378,0.08510500045929652,0.166520808784622,0.023505931345382976,420,0.11919901960687244,0.0665958821773529
Pattern5,Monocyte,3,3,723,0.18459539518193493,0.03901819071744885,0.17408030814849326,0.15191227561308793,0.22779360178422364,0.022527162914011252,723,0.18957178131740127,0.171904787421227
Pattern5,NK_cell,3,3,888,0.1179455241337783,0.056474866450726455,0.09780628072040372,0.07430091405148789,0.18172937762944333,0.03260577934777509,888,0.088615131259182,0.0078430161811411
Pattern5,Neutrophil,3,3,67,0.03834938206298005,0.004780867074930546,0.041032477083552454,0.032829624311323795,0.04118604479406392,0.00276023489267097,67,0.03976366994419238,0.0419949106872082
Pattern5,Plasmablast,3,3,33,0.6805824383196456,0.04359268983987396,0.6992361843585968,0.6307666664943098,0.7117444641060301,0.025168251213751096,33,0.6694501913858183,0.733841180801392
Pattern5,T_cell,3,3,2669,0.0857348743970885,0.006191165263467464,0.08921653041045603,0.07858672904508439,0.08940136373572512,0.003574470931460401,2669,0.08531296781979837,0.0455838926136494
Pattern6,B_cell,3,3,420,0.11281201538236,0.17157708443059258,0.01819247089556662,0.009376796821629153,0.3108667784298842,0.09906007588277378,420,0.08755772856372444,0.00025571564037815003
Pattern6,Monocyte,3,3,723,0.02937502624830086,0.029045927496206006,0.02355934971376881,0.003676932719012406,0.06088879631212135,0.016769674058796893,723,0.03272824610911307,0.0002112233778461
Pattern6,NK_cell,3,3,888,0.1627179974505695,0.2583025925773807,0.021970612619368664,0.005357503632351051,0.4608258760999888,0.149131071356929,888,0.33672860100975316,0.407273963093758
Pattern6,Neutrophil,3,3,67,0.004625001294767725,0.00313337274623081,0.003666006388481331,0.0020831958263041574,0.008125801669517686,0.0018090535985077951,67,0.004327199479060076,0.0005042014527134
Pattern6,Plasmablast,3,3,33,0.05358695161459837,0.06199338713457245,0.031436881819515414,0.005711067482224056,0.12361290554205565,0.035791898750122085,33,0.05033923632874363,4.11645851272624e-05
Pattern6,T_cell,3,3,2669,0.251094217407069,0.33395333808860417,0.06783304568002901,0.04889434327121145,0.6365552632699666,0.19280804964222972,2669,0.1682039895363616,0.0617308244109154
Pattern7,B_cell,3,3,420,0.03632479143156767,0.025452347412669177,0.044251229436459164,0.007852376721568279,0.056870768136675576,0.014694919630212425,420,0.03968506525856244,0.0001212394236063
Pattern7,Monocyte,3,3,723,0.022012172782972583,0.008636222744073694,0.019858313943970064,0.014656723394480578,0.031521481010467096,0.004986125526072516,723,0.02001180500466905,4.80950038763694e-05
