pattern,timepoint_merged,day_merged_numeric,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern4,D6,6.0,3,3,600,0.1555783864069585,0.11825511320429227,0.17313171389120321,0.029527759997784092,0.26407568533188824,0.06827462144154782,600,0.1555783864069585,0.1157218404114245
Pattern4,D8,8.0,3,3,600,0.13705286880686007,0.10149185602859641,0.12151675446538933,0.04422485893963466,0.24541699301555625,0.058596350398664884,600,0.13705286880686007,0.09683363884687421
Pattern4,D10,10.0,3,3,600,0.11610176863525051,0.09310277942714966,0.1209927810763025,0.020649886100857814,0.20666263872859122,0.053752914764567214,600,0.1161017686352505,0.050275925546884495
Pattern4,D14/15,14.5,3,3,600,0.1683265105065136,0.13245758223745413,0.17702006299723222,0.031736293210150666,0.29622317531215786,0.07647442076100114,600,0.1683265105065136,0.09122521802783015
Pattern4,D28,28.0,3,3,600,0.14543107360048393,0.12760898178678973,0.13399225802124734,0.02392659465388674,0.2783743681263178,0.0736750799856171,600,0.14543107360048396,0.08005752041935921
Pattern5,D0,0.0,3,3,600,0.11973453037251176,0.00982309578682628,0.12020312227896411,0.10968552469071646,0.12931494414785474,0.005671366996799632,600,0.11973453037251178,0.07641106843948366
Pattern5,D2,2.0,3,3,600,0.10948496516225252,0.014352556331602788,0.10514069284607044,0.09780642094774195,0.1255077816929452,0.008286452261610138,600,0.10948496516225252,0.0652371495962143
Pattern5,D4,4.0,3,3,600,0.09502891006753839,0.030395843189279775,0.08101583668671024,0.07416731775715786,0.1299035757587471,0.017549048247576332,600,0.0950289100675384,0.0340738166123629
Pattern5,D6,6.0,3,3,600,0.1124608870185861,0.029681599505917748,0.09625140018161688,0.09441344598545581,0.1467178148886856,0.017136679464720275,600,0.11246088701858609,0.0606557559221983
Pattern5,D8,8.0,3,3,600,0.10755139210550842,0.025354140838828098,0.10535896558128584,0.0833646584047547,0.1339305523304847,0.014638220038369088,600,0.10755139210550842,0.0477081723511219
Pattern5,D10,10.0,3,3,600,0.08687566693972994,0.021412464408320904,0.08237848273180902,0.06806897152041898,0.11017954656696183,0.012362492090157355,600,0.08687566693972994,0.0027150590904057
Pattern5,D14/15,14.5,3,3,600,0.1541113885383369,0.042906260896022556,0.1394330232947989,0.12047061972760019,0.2024305225926116,0.024771941278238938,600,0.15411138853833692,0.09567900747060776
Pattern5,D28,28.0,3,3,600,0.07853651979312912,0.015982766994758646,0.08327275248701482,0.06072091446866074,0.09161589242371178,0.009227654826818971,600,0.07853651979312912,0.0014612384256906
Pattern6,D0,0.0,3,3,600,0.1647767331592262,0.23698651753575387,0.030055644385515033,0.025860083766828613,0.4384144713253349,0.13682422969357946,600,0.16477673315922617,0.0368152242153883
Pattern6,D2,2.0,3,3,600,0.17858034753515836,0.2415303590090395,0.04331477961163536,0.034992076855625664,0.45743418613821407,0.1394476177913359,600,0.17858034753515836,0.0481128040701151
Pattern6,D4,4.0,3,3,600,0.17939974503526793,0.23470537280131393,0.048119290533474614,0.039709278718067786,0.45037066585426144,0.13550721016709008,600,0.17939974503526795,0.06414323672652245
Pattern6,D6,6.0,3,3,600,0.1678430938996874,0.22532347882282203,0.051634887252416765,0.02434757014110893,0.4275468243055365,0.13009057115309924,600,0.1678430938996874,0.049551654607057544
Pattern6,D8,8.0,3,3,600,0.17291931868231555,0.20472342821804207,0.07418543633028082,0.03627443921749635,0.4082980804991695,0.11819712639110962,600,0.17291931868231555,0.0607928205281496
Pattern6,D10,10.0,3,3,600,0.14982836565281457,0.1915322149593359,0.04671678812241735,0.031942154602076445,0.37082615423394993,0.11058117586525786,600,0.14982836565281457,0.0421637464314699
Pattern6,D14/15,14.5,3,3,600,0.15746414377471524,0.1963165152044268,0.05011929146725306,0.038226228553713056,0.3840469113031796,0.11334339289964508,600,0.15746414377471524,0.0474994331598282
Pattern6,D28,28.0,3,3,600,0.17975380370549546,0.21247400206287884,0.06505660171857156,0.04927638029101145,0.4249284291069034,0.1226719222868002,600,0.17975380370549546,0.0801680460572243
Pattern7,D0,0.0,3,3,600,0.2648777699652972,0.13677029789691966,0.26057163379268644,0.13031139071414682,0.4037502853890584,0.07896436830793188,600,0.2648777699652972,0.14632079750299448
Pattern7,D2,2.0,3,3,600,0.2756050331223923,0.17882496889392047,0.26302446671178364,0.10340255313685233,0.46038807951854094,0.10324464392873144,600,0.2756050331223923,0.1789305955171585
Pattern7,D4,4.0,3,3,600,0.27953503591228124,0.15556250523624854,0.3376906766845485,0.10327320104035807,0.3976412300119372,0.08981405427396066,600,0.27953503591228124,0.1931587904691695
Pattern7,D6,6.0,3,3,600,0.25513010915471196,0.14490420697642636,0.25678576260901975,0.10940516959159977,0.3991993952635164,0.08366048290454901,600,0.255130109154712,0.16764762252569199
Pattern7,D8,8.0,3,3,600,0.2589010138099093,0.16519833329996525,0.2625669075059949,0.09190024248432742,0.4222358914394056,0.09537730220041246,600,0.25890101380990926,0.1721758916974065
Pattern7,D10,10.0,3,3,600,0.22781018613677148,0.12290123214119307,0.26876241267284334,0.08966122460658495,0.32500692113088614,0.07095705946045451,600,0.22781018613677148,0.08280579745769501
Pattern7,D14/15,14.5,3,3,600,0.29029468322508045,0.19752835968042393,0.2807483858844445,0.09771255825582208,0.49242310553497476,0.11404305163407798,600,0.2902946832250804,0.1381361111998555
Pattern7,D28,28.0,3,3,600,0.23502037889268515,0.15614133052688206,0.21916763147917845,0.0874101559467931,0.3984833492520839,0.09014823921132169,600,0.23502037889268518,0.14592608809471153
Pattern8,D0,0.0,3,3,600,0.07479063077860222,0.07470839609276256,0.06753012732482203,0.0039775600114543815,0.15286420499953024,0.04313291259488165,600,0.07479063077860221,5.8422945585334646e-05
Pattern8,D2,2.0,3,3,600,0.06374719046973822,0.06037238301606572,0.06168073202801153,0.004434566948511637,0.1251262724326915,0.034856011585944736,600,0.06374719046973823,6.523740012198689e-05
Pattern8,D4,4.0,3,3,600,0.05700636549766694,0.06572374947525546,0.031574004871492034,0.007799145388771071,0.1316459462327377,0.037945624451690266,600,0.05700636549766693,4.875496779277455e-05
Pattern8,D6,6.0,3,3,600,0.05044383027077808,0.06231809337734863,0.025405481791490124,0.004539074556504648,0.12138693446433946,0.03597936798679647,600,0.050443830270778076,4.8651516408426646e-05
