pattern,broad_cell_type,timepoint_merged,day_merged_numeric,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern7,B_cell,D0,0.0,3,3,73,0.022478087523946727,0.012323952322080544,0.02655065327069515,0.008633313764107678,0.03225029553703734,0.0071152371906333155,73,0.02334828240795841,1.78894188138656e-05
Pattern7,Monocyte,D0,0.0,3,3,110,0.016476701038063948,0.003758902736320991,0.01804261004585462,0.012187994615448255,0.019199498452888968,0.002170203506672545,110,0.01585533168395882,8.008589429664426e-05
Pattern7,NK_cell,D0,0.0,3,3,88,0.04675480413331314,0.018329455094125795,0.03993813812485315,0.03281036437799824,0.06751590989708804,0.010582515832692686,88,0.03845512237657609,0.0013458109460770498
Pattern7,Neutrophil,D0,0.0,2,2,3,0.041156167630106225,0.02461047405181178,0.041156167630106225,0.02375393453985455,0.0585584007203579,0.017402233090251677,3,0.035355423266689,0.0394753329455853
Pattern7,Plasmablast,D0,0.0,2,2,2,0.0177419009269215,0.024493418341744358,0.0177419009269215,0.0004224387230351,0.0350613631308079,0.017319462203886395,2,0.0177419009269215,0.0177419009269215
Pattern7,T_cell,D0,0.0,3,3,324,0.4449541526558656,0.14181039105509627,0.4894753443168513,0.28622530179507766,0.5591618118556678,0.08187426744954593,324,0.46898935196718916,0.4498261511325835
Pattern7,B_cell,D2,2.0,3,3,38,0.03713613093512184,0.04205297946441341,0.028518216061487064,5.9683465650533734e-05,0.08283049327822792,0.024279299014004888,38,0.04396600283739287,0.00019299380073785
Pattern7,Monocyte,D2,2.0,3,3,86,0.03453715411418712,0.03582015759760352,0.021532148118292477,0.007036185898121424,0.07504312832614746,0.02068077763139121,86,0.02468083381183114,3.6328716305433745e-05
Pattern7,NK_cell,D2,2.0,3,3,118,0.038546446335883514,0.02891349702162629,0.030225248580285143,0.014705999501892561,0.07070809092547284,0.016693215288649383,118,0.02352903031262114,9.487679926678541e-05
Pattern7,Neutrophil,D2,2.0,2,2,5,0.027742208001048603,0.0025824870899412928,0.027742208001048603,0.0259161138674244,0.029568302134672802,0.0018260941336242014,5,0.02810742682777344,0.0212089587002993
Pattern7,Plasmablast,D2,2.0,3,3,5,5.745051057853441e-05,4.16414905713492e-05,7.647118964841865e-05,9.69524899119278e-06,8.61850930959918e-05,2.4041725790825724e-05,5,6.50587822064881e-05,9.69524899119278e-06
Pattern7,T_cell,D2,2.0,3,3,348,0.4190441281601433,0.16150029966657128,0.43496219092396554,0.25017422626049,0.5719959672959744,0.09324224148670017,348,0.4558979081978672,0.4447859078645705
Pattern7,B_cell,D4,4.0,3,3,63,0.0324823578990336,0.025944745626858636,0.04467348767997431,0.0026873817998307433,0.050086204217295746,0.0149792058717232,63,0.03615825306649397,0.0005953193176537
Pattern7,Monocyte,D4,4.0,3,3,72,0.02161097542359902,0.012546186348524243,0.017780563783058305,0.011426480756257967,0.035625881731480784,0.00724354406562368,72,0.018249947510373628,9.229516945197244e-05
Pattern7,NK_cell,D4,4.0,3,3,103,0.026244331366803143,0.00742919117269618,0.02246216427033679,0.02146725995873302,0.034803569871339625,0.004289245523417332,103,0.023616193872272203,0.0001142639594036
Pattern7,Neutrophil,D4,4.0,3,3,10,0.04383442234247922,0.005307314283652381,0.045737811177968976,0.03783788718283175,0.04792756866663694,0.003064179330340648,10,0.04481475362554192,0.0392270926386118
Pattern7,Plasmablast,D4,4.0,3,3,4,5.430103971092246e-05,9.342883139914148e-05,7.20559626188333e-07,0.0,0.00016218255950657903,5.39411609583665e-05,4,8.12714196598366e-05,2.5340266660123217e-05
Pattern7,T_cell,D4,4.0,3,3,348,0.4299334694186951,0.1378492853454891,0.4973939401235339,0.27134635944788205,0.5210601086846692,0.07958732200181567,348,0.46335665170303053,0.4820271879434585
Pattern7,B_cell,D6,6.0,3,3,61,0.03242375529074586,0.01445309847105641,0.03033314616492682,0.019129810552302996,0.047808309155007764,0.008344500292888588,61,0.03226469372278575,0.0001636749948374
Pattern7,Monocyte,D6,6.0,3,3,64,0.02356040343661928,0.014696199353347459,0.023830685767478595,0.008730927103188684,0.038119597439190564,0.00848485465271956,64,0.026741003963262074,0.00012571206752905
Pattern7,NK_cell,D6,6.0,3,3,110,0.03900190126990959,0.0236151639447676,0.03599430800087947,0.017034614521156743,0.06397678128769257,0.013634221260468718,110,0.03458217997087993,0.00071537838084615
Pattern7,Neutrophil,D6,6.0,3,3,12,0.04634563340288069,0.006340128271123282,0.047265786056717246,0.039595706854015554,0.05217540729790925,0.003660474764029784,12,0.047623979936664305,0.04828802682459355
