broad_cell_type,timepoint_merged,day_merged_numeric,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
NK_cell,D8,8.0,0.16346082079323554,0.5698382486899694,0.015573905481646274,0.09408446192417538,0.022965685744957283
NK_cell,D10,10.0,0.1038157692696054,0.6047142934903764,0.025975805502451578,0.14311372754219295,0.026996022221652538
NK_cell,D14/15,14.5,0.07409106768235987,0.5870403241780069,0.034664133033067826,0.2811966691751013,0.022233204081437523
NK_cell,D28,28.0,0.14921927841704885,0.49098955593862625,0.008674527421394964,0.11629386258991337,0.02241473790984338
Neutrophil,D0,0.0,0.023492972366511822,0.00013164971702887365,0.012042940050984422,0.032100907837351166,0.0064575509168207645
Neutrophil,D2,2.0,0.022864939249120652,0.008832815032292274,0.023212013766169548,0.024539831466972827,0.0033387195806426464
Neutrophil,D4,4.0,0.04200999289751053,0.005096725991279527,0.023183624213561415,0.02616185065708123,0.00023007569907349535
Neutrophil,D6,6.0,0.037083912022353616,0.0023986560496875122,0.01760741172984126,0.035317214050640665,0.009516059088734133
Neutrophil,D8,8.0,0.041327105155687605,0.009526074740279,0.025911474833264947,0.03350243059685454,0.007020325052053522
Neutrophil,D10,10.0,0.0364462522481972,0.0075784153242466346,0.028596609128726413,0.03460735532576109,0.008662738759880995
Neutrophil,D14/15,14.5,0.03465239889919758,0.016663944930769503,0.017989214975386858,0.0031834461260586977,0.00028484939684858546
Neutrophil,D28,28.0,0.03154678326311775,0.004988200787920505,0.01793818655410591,0.02552168283198791,0.008147870172913164
Plasmablast,D0,0.0,0.15572427585721016,0.10396125912666321,0.2254096269607544,0.41862382739782333,0.4370244890451431
Plasmablast,D2,2.0,0.06720041834923904,0.09483649209141731,0.23882018476724626,0.13924865499138833,0.5451356768608093
Plasmablast,D4,4.0,0.026687468619684296,0.025401343377097874,0.19706686027348042,0.29882265045307577,0.5314760729670525
Plasmablast,D6,6.0,0.09323591940365834,0.14714821978547357,0.1633507547279199,0.26787250729898915,0.45272015035152435
Plasmablast,D8,8.0,0.10803662147890236,0.04390825517296548,0.182951420545578,0.19866339769214392,0.32939182966947556
Plasmablast,D10,10.0,0.06116358547099784,0.06323817376202594,0.2066489222149054,0.2960268010695775,0.4470186208685239
Plasmablast,D14/15,14.5,0.1643163427710533,0.05530085824429989,0.22374713718891143,0.20252294145657287,0.5116765081882477
Plasmablast,D28,28.0,0.18213969469070435,0.09373471885919571,0.21522952616214752,8.24444941827096e-06,0.5828131437301636
T_cell,D0,0.0,0.5170682994085264,0.06934037088403325,0.011261808162235494,0.3635377778680859,0.011842645126278075
T_cell,D2,2.0,0.5118685466256372,0.06980205219334881,0.013636026180274154,0.3955363822691745,0.013789805430273097
T_cell,D4,4.0,0.4919052797733624,0.05482858082291003,0.01036779146644227,0.3461735709831018,0.012785506707600359
T_cell,D6,6.0,0.46150194642883247,0.07621481015253603,0.011909916890416336,0.4219423409382994,0.014670997746618453
T_cell,D8,8.0,0.4740221431753824,0.07227075089294309,0.013276597028810797,0.3920508806328045,0.014584377221250886
T_cell,D10,10.0,0.4815440871796128,0.08595430696167008,0.015559243818255991,0.32881816671221104,0.013862736085229841
T_cell,D14/15,14.5,0.5618946799995821,0.08491897084647815,0.019834448592027487,0.3288771316101932,0.014201865207983399
T_cell,D28,28.0,0.44796882135860683,0.07146219712612205,0.01006129041661579,0.36958792493909703,0.008917570272601231
