pattern,rank,gene,weight
Pattern5,2,EEF1A1,5.105571746826172
Pattern5,3,HLA-DRA,4.847041130065918
Pattern5,4,MALAT1,4.843664169311523
Pattern5,5,HLA-DRB1,4.565610408782959
Pattern5,6,MT-CO2,4.519688129425049
Pattern5,7,RPS8,4.507448673248291
Pattern5,8,RPS12,4.473590850830078
Pattern5,9,MT-CO1,4.397514820098877
Pattern5,10,MT-ATP6,4.307532787322998
Pattern5,11,HLA-DPA1,4.139786243438721
Pattern5,12,HLA-DPB1,4.097538948059082
Pattern5,13,B2M,4.06220817565918
Pattern5,14,MT-CO3,4.036830902099609
Pattern5,15,MT-ND3,3.9563357830047607
Pattern5,16,MT-ND4L,3.8336658477783203
Pattern5,17,MT-CYB,3.7371015548706055
Pattern5,18,HLA-B,3.7303318977355957
Pattern5,19,PTMA,3.525561809539795
Pattern5,20,RPLP0,3.4533205032348633
Pattern5,21,RPS2,3.4262053966522217
Pattern5,22,TMSB10,3.3757829666137695
Pattern5,23,ACTB,3.3476762771606445
Pattern5,24,HLA-DRB5,3.2831902503967285
Pattern5,25,MT-ND1,3.1764214038848877
Pattern5,26,MT-ND4,3.0989949703216553
Pattern5,27,FTL,3.082296133041382
Pattern5,28,CD37,3.050387382507324
Pattern5,29,TMSB4X,2.9327964782714844
Pattern5,30,HLA-DQA1,2.886972188949585
Pattern5,31,HLA-A,2.8860270977020264
Pattern5,32,HLA-DQB1,2.8796510696411133
Pattern5,33,MTRNR2L12,2.7899279594421387
Pattern5,34,FTH1,2.704838752746582
Pattern5,35,AC090498.1,2.6412768363952637
Pattern5,36,PPIA,2.580932378768921
Pattern5,37,MT-ND2,2.4219422340393066
Pattern5,38,H3F3A,2.3971521854400635
Pattern5,39,H3F3B,2.1318700313568115
Pattern5,40,PFN1,2.0495595932006836
Pattern5,41,CD52,2.015378475189209
Pattern5,42,TAGLN2,1.9546653032302856
Pattern5,43,CD79A,1.9507360458374023
Pattern5,44,JUNB,1.8605551719665527
Pattern5,45,OAZ1,1.8550570011138916
Pattern5,46,ARPC3,1.7213013172149658
Pattern5,47,UBC,1.6955459117889404
Pattern5,48,CYBA,1.605712890625
Pattern5,49,EZR,1.5898795127868652
Pattern5,50,HMGB1,1.51734459400177
