,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
MAD2L2,0.1043819934129715,0.4450101852416992,0.30024343729019165,0.0,0.1223992332816124
AGTRAP,0.0873793289065361,0.5883919596672058,0.9018096923828125,1.5301283440294355e-07,8.434204937657341e-05
MTHFR,0.04028157889842987,0.05270181968808174,0.37646931409835815,0.014160813763737679,0.12786342203617096
TNFRSF8,1.5517678548349068e-05,5.928545579081401e-05,0.22400599718093872,3.022551754838787e-05,0.001563812606036663
TNFRSF1B,0.06525221467018127,0.6218335628509521,1.220069408416748,0.6943918466567993,3.996999657829292e-05
TMEM51,1.0826334801095072e-05,3.07031259580981e-05,0.1520201563835144,3.7041296309325844e-05,0.00031319569097831845
EFHD2,4.2494853857988346e-08,0.9304220080375671,0.84324711561203,0.45122411847114563,0.10606911033391953
CTRC,7.359904702752829e-05,3.1967992981662974e-05,0.022878600284457207,0.0005993748782202601,0.00016179658996406943
CASP9,0.0009655607282184064,0.04486206918954849,0.17299188673496246,0.05722682923078537,0.21138803660869598
EPHA2,4.3533131247386336e-05,3.726635259226896e-05,0.020992062985897064,6.525521166622639e-05,0.03795795887708664
ATP13A2,0.0454564094543457,0.06745633482933044,0.15926340222358704,0.00043041902245022357,0.07137728482484818
PADI2,4.377054938231595e-05,8.419995720032603e-05,0.1414341777563095,2.7730129659175873e-07,0.00015349194291047752
PADI4,0.020242702215909958,5.6299641073565e-06,0.2507036030292511,3.162739085382782e-05,0.00022261733829509467
ARHGEF10L,5.500769475474954e-07,1.4534639376506675e-05,0.3055906593799591,7.669505635021778e-07,0.00011738894681911916
RP1-43E13.2,0.0022474201396107674,0.005948255769908428,0.022588923573493958,0.0009559282916598022,0.007954541593790054
MRTO4,0.2104000449180603,0.09828566759824753,0.0885569304227829,0.056277547031641006,0.16514931619167328
UBXN10,0.003524573752656579,0.013348775915801525,0.00051103625446558,0.0002000219392357394,0.0012917598942294717
CDA,8.350478424290486e-07,0.0,0.7291778326034546,3.2618910950077407e-07,2.676529220480006e-06
PINK1-AS,0.0005742543726228178,0.0005144631140865386,0.0043099489994347095,0.003221289487555623,0.0004630635667126626
DDOST,0.47119414806365967,0.663113534450531,0.4515772759914398,0.13007394969463348,0.3465658128261566
