"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Pattern7","Pattern8","Pattern9","Pattern10"
"HDAC1",0.112200081348419,0.046200554817915,3.23300264426507e-05,0,0.445078194141388,0.420226633548737,0.162045106291771,0.191831693053246,0.150932282209396,0.197788134217262
"MARCKSL1",0.251189798116684,0.66228836774826,0.226393967866898,0.708309948444366,0.210565388202667,0.217289954423904,0.288994401693344,0.169443503022194,0,0.462996900081635
"YARS",0.141372472047806,1.69411414390197e-05,0.214859843254089,0.246224537491798,0.46807324886322,0.0671927556395531,0.0659114271402359,0.0557919889688492,0.241485431790352,0.0393596589565277
"S100PBP",0.000129917127196677,6.89129446982406e-05,0.0475180596113205,0.024554206058383,0.251631945371628,0.0738378837704659,0.0574834421277046,0.0529734678566456,0.0269148368388414,0.0297176986932755
"RNF19B",0.065970666706562,0.680963218212128,0.101948171854019,0.0614166148006916,0.115175016224384,2.92608128802385e-05,1.12813449959503e-06,0.239420756697655,2.80843614746118e-05,2.42658443312394e-05
"AZIN2",0.000130440079374239,5.43259920959827e-06,6.11083294188575e-07,4.97512373840436e-05,0.109172701835632,0.000138915958814323,2.65499165834626e-05,1.23709578474518e-05,1.60506715474185e-05,0.0048066945746541
"CLSPN",0.000112515837827232,6.915028734511e-06,5.5663116654614e-05,0.033380713313818,0.132920160889626,1.63853219419252e-05,1.07227947410138e-06,3.76738762497553e-06,0.00830871984362602,1.87296245712787e-05
"SH3D21",6.74596085445955e-05,0.214789256453514,0,8.06806856417097e-05,0.0265759825706482,0.000246020994381979,0.000126466940855607,0.00015661034558434,8.3155700849602e-06,0.000253067642915994
"RP11-268J15.5",4.30101172241848e-05,0.0834985002875328,1.02207632153295e-05,0.000113500595034566,0.000295468722470105,0.000147272410686128,6.00466664764099e-05,7.5969219324179e-05,2.38932407228276e-05,0.000205599251785316
"STK40",0.266382187604904,0.777093887329102,0.0405998528003693,0.0781750380992889,0.235478579998016,3.15610897416718e-08,0.00163745018653572,0.267863929271698,0.0592774339020252,0.121257081627846
"CSF3R",2.33908372138103e-06,0.981819093227386,0,0,2.38907568927971e-06,3.21793995681219e-05,2.69925694738049e-05,1.15379893779755,5.59721866011387e-06,7.56216763875273e-07
"CDCA8",3.78959848603699e-05,1.84399123099865e-05,7.99294793978333e-05,2.41993402596563e-05,0.0721729323267937,7.25754143786617e-05,2.66974784608465e-05,1.26404838738381e-05,0.000111838307930157,1.08491794890142e-05
"MTF1",0.0185276195406914,0.451824009418488,0.110672108829021,0.129331469535828,0.237969011068344,0.0559800490736961,0.0783792436122894,0.191984817385674,0.0027675130404532,0.0757070556282997
"PABPC4",0.128440022468567,0.528209149837494,0,0.282113999128342,0.438820660114288,0.20580430328846,0.229059904813766,0.345552533864975,0,0.146400645375252
"BMP8B",0.000107300707895774,0.00024625615333207,0.00034781894646585,6.13994488958269e-05,0.035286583006382,7.90102858445607e-05,1.29140707940678e-05,0.000377388525521383,2.26059655688005e-05,0.000167546721058898
