"broad_cell_type","timepoint_merged","day_merged_numeric","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Pattern7","Pattern8","Pattern9","Pattern10"
"Plasmablast","D0",0,0.165877431631088,0.0805013701319695,0.00831172917992262,0.155992807820439,0.838850855827332,0.0301950723569462,0.0177419009269215,0.033636729211139,0.0781285176053643,0.312971219420433
"Plasmablast","D2",2,0.109436842426658,0.0340919079407968,0.00822296071219739,0.0250256534746313,0.663683718442917,0.0572542518377304,6.50587822065063e-05,0.134778140485287,0.0577317889779806,0.388210248947144
"Plasmablast","D4",4,0.135311749036191,0.081849092617631,6.64555390754717e-05,0.0795545877390396,0.554300922900438,0.0244110208547852,8.12714196598563e-05,0.0609844408463687,0.0144000510190381,0.426143899559975
"Plasmablast","D6",6,0.118721749200934,0.0367408316248354,0.0109733211291158,0.0971998237226922,0.62516329685847,0.0708843677743379,0.00488001773574827,0.0596702591907767,0.144541364876204,0.365569981435935
"Plasmablast","D8",8,0.140251012519002,0.0263898289385907,0.0275998774559412,0.0610066898727766,0.581496819853783,0.0333846031912231,0.0123142913217009,0.0668461307650432,0.0191475585681218,0.269994366914034
"Plasmablast","D10",10,0.118108067661524,0.0736372628840248,0.142455813785394,0.0817157684289972,0.643694058060646,0.0363306639095147,0.00186896021042079,0.0269562157197167,0.0227713644950806,0.363835136095683
"Plasmablast","D14/15",14.5,0.0511819882303826,0.0135015809648394,0.101774781197309,0.108673656599422,0.838967978954315,0.0551150776419945,0.00480509340059143,0.0918694540858269,0.0138089241663693,0.363508188724518
"Plasmablast","D28",28,0.0363401398062706,0,0.00237109907902777,6.05550170007518e-08,0.744561016559601,0.164485320448875,7.98025848780526e-06,0.118380308151245,0.05259894952178,0.43023756146431
"T_cell","D0",0,0.229273601856016,0.00456192681906478,0.0264329993511427,0.141728682921912,0.0968212364245196,0.183589587988766,0.468989351967189,0.00280132811126268,0.0443422984638235,0.0119496655070492
"T_cell","D2",2,0.239011312996861,0.00512229992637983,0.0201153187506461,0.173034261219325,0.102417183215115,0.189105130407462,0.455897908197867,0.00223427348971571,0.042138289424432,0.0136177771343617
"T_cell","D4",4,0.189580199692841,0.00432637008448213,0.0153590045259332,0.157938649490522,0.068028927220584,0.175640031772317,0.463356651703031,0.00274534930459247,0.0332815029475239,0.014237261750022
