subject,broad_cell_type,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject2,Plasmablast,D8,8.0,2,Pattern7,0.00010935198952206845
Subject2,Plasmablast,D8,8.0,2,Pattern8,0.0761305252090097
Subject2,Plasmablast,D8,8.0,2,Pattern9,0.02864988939836625
Subject2,Plasmablast,D8,8.0,2,Pattern10,0.365010716021061
Subject2,T_cell,D0,0.0,141,Pattern1,0.24271477762393806
Subject2,T_cell,D0,0.0,141,Pattern2,0.005680359889793901
Subject2,T_cell,D0,0.0,141,Pattern3,0.039836256316082015
Subject2,T_cell,D0,0.0,141,Pattern4,0.1728973216299452
Subject2,T_cell,D0,0.0,141,Pattern5,0.11174670119750443
Subject2,T_cell,D0,0.0,141,Pattern6,0.030659688447421774
Subject2,T_cell,D0,0.0,141,Pattern7,0.5591618118556678
Subject2,T_cell,D0,0.0,141,Pattern8,0.002171307320254795
Subject2,T_cell,D0,0.0,141,Pattern9,0.04480417805974932
Subject2,T_cell,D0,0.0,141,Pattern10,0.011934637544120516
