subject,broad_cell_type,timepoint_merged,day_merged_numeric,n_cells,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10,ifn_program_score,translation_program_score,mito_program_score,plasmablast_program_score
Subject3,NK_cell,D10,10.0,89,0.04719326664370909,0.0004544111251487711,0.2374950469879622,0.024639065131719984,0.07390040712429033,0.42013406853997304,0.01908538578634261,0.0037436092545256876,0.6644107459971075,0.016167751189017417,1.248000747344914,1.1865522021193267,2.469667486555121,-0.1532131910011563
Subject3,NK_cell,D14/15,14.5,80,0.038435513005187945,0.0007027874559492191,0.17222008096578065,0.038894014981445464,0.07909969375162049,0.4437388890422881,0.0123335167018915,0.0024153978116100102,0.6813474860973656,0.013162179008202901,0.787364431500435,1.174133981004053,2.0644472246170045,-0.10429871891935671
Subject3,NK_cell,D2,2.0,77,0.050532365675151354,0.0017984474563724126,0.00702901131082803,0.07151594196663873,0.03784504963419903,0.4524558604537667,0.014705999501892561,0.0034323168952023453,0.5826649476181377,0.022694008184080523,-0.07259779547200056,1.6371854231839724,2.744602942528663,-0.17522212102815704
Subject3,NK_cell,D28,28.0,85,0.04687700598344688,0.0022414260200110518,0.01934403211896906,0.0242193598932581,0.06006832870724599,0.47256578022942825,0.026661731233915496,0.003269795882425457,0.552272246164434,0.023022343842491546,0.02627716328116024,1.652144862137207,2.5041824058083924,-0.13858612658930758
Subject3,NK_cell,D4,4.0,79,0.04615192561628381,0.002984705190968556,0.013140955842156394,0.04988072278158083,0.07268164645150016,0.4730967241751996,0.02146725995873302,0.006190101213697558,0.624836541617973,0.021903231285995226,-0.0788413812440156,1.5723028057337856,2.7969509559341623,-0.1427359296953628
Subject3,NK_cell,D6,6.0,82,0.04915970124768978,0.004444852012451227,0.018154502590263303,0.04143169037439573,0.09338111992252396,0.4501479742367092,0.03599430800087947,0.006168988574234547,0.5762113089241633,0.017358939504642117,-0.051280433472579094,1.6611426233829933,2.815898668242664,-0.14638845400112432
Subject3,NK_cell,D8,8.0,91,0.048447932957958205,0.002824806406147582,0.025472915687294123,0.05165007439730808,0.09493927966090263,0.490573634321873,0.025172728739623815,0.007022736999784886,0.6252729373646307,0.016705597165176382,-0.03723699774934259,1.6073440067114175,2.7030054666707803,-0.13100875276785628
Subject3,Neutrophil,D0,0.0,1,0.0001158810846391,0.0001868661493062,2.00816302822204e-05,0.0013329079374671,0.0259742438793182,0.0002193011023337,0.0585584007203579,0.0026926102582365,0.0001416645973222,0.0110281361266971,-0.0724755160013835,0.461170032316325,0.0650233888626099,-0.0281414159138997
Subject3,Neutrophil,D10,10.0,1,0.0109716337174177,0.0165367256850004,0.041132964193821,0.0001834688737289,0.0161082427948713,0.0007476265891455,0.035056184977293,0.0404859222471714,0.0013958325143903,0.0004906984977424,0.250768807729085,-0.199699207228057,3.73212566375732,-0.0323272323608398
Subject3,Neutrophil,D14/15,14.5,1,0.0008508717291988,0.0003035411355085,0.0243279188871384,0.0002377557248109,0.0056242779828608,0.000470517843496,0.0415064357221127,0.0195452552288771,0.0341482423245907,0.0004034359881188,0.0562912452220917,0.176831418154191,-0.0108258056640625,-0.0412055206298828
Subject3,Neutrophil,D2,2.0,2,4.3719091991079053e-05,0.00016599092350584176,1.650174397127559e-06,0.0133072647513472,0.03848991077393295,0.023895199643448,0.0259161138674244,0.02326879650354385,0.018230590329039852,0.0008982252288660655,-0.0614945141474406,0.01463311849808205,0.686916999816894,-0.03165127118428545
Subject3,Neutrophil,D28,28.0,5,0.0003994438290646675,0.0038695567898684954,0.0031803305751964004,0.00493010629143096,0.0507960805669427,0.008185418198627274,0.024989249161444578,0.014972582298651093,0.012083677627379061,0.004601434753840275,-0.07720832570393879,-0.17463632298975568,0.28435596847534167,-0.03040670776367186
Subject3,Neutrophil,D4,4.0,2,0.000631274581564838,0.00010581828769313301,1.5623181418844537e-06,0.01058691967045885,0.045326572842896,0.0200539589859545,0.03783788718283175,0.0273067820817232,4.55769608151968e-05,0.00012599788260554584,-0.0804984124501546,-0.006334520800381299,0.11127267241477956,-0.0145934001604716
Subject3,Neutrophil,D6,6.0,6,0.0024152828918886245,0.000290923549376484,0.00012337202436657095,0.00761556350820075,0.05124314222484825,0.003533220119910119,0.047265786056717246,0.015389044148226567,0.008333647415080718,0.008200005192823758,-0.06717338780562084,0.1753387739058255,0.3933225496610003,-0.03323093785179987
Subject3,Neutrophil,D8,8.0,4,0.0002707618900785562,0.0006575985207746224,0.003927656361952348,0.010744679902018104,0.0314838769409107,0.006826365555752951,0.053644529734810924,0.0256215634290129,0.011223381952731825,0.008922113382141075,-0.08788885732491825,-0.08941036903736527,0.39835324168205277,-0.037311506668726575
Subject3,Plasmablast,D10,10.0,1,0.124414347112179,5.22992877449724e-06,0.195048809051514,0.0671911537647247,0.253852874040604,0.116227105259895,0.0002240303292637,0.0268277749419212,0.0079266913235187,0.0631916970014572,1.02056229273478,1.57608097426745,1.88738513946533,1.84773631413778
Subject3,Plasmablast,D14/15,14.5,1,8.82675449247472e-05,0.0,0.14650259912014,7.93219442130066e-05,0.797341585159302,0.111449256539345,5.99951135882293e-06,0.174382627010345,0.0261918101459742,0.389912515878677,0.490909067789713,1.86749836863304,1.94622463226318,0.728281936645508
Subject3,Plasmablast,D2,2.0,3,0.0577317867428064,6.112828714321934e-07,0.013677096871958836,0.026604540442349372,0.8110872705777487,0.09542375306288386,7.647118964841865e-05,0.19454707205295566,0.06484953810771306,0.374694546063741,-0.435330452124278,1.7975075893661634,2.5512634785970034,0.702975920041403
Subject3,Plasmablast,D28,28.0,1,0.0363401398062706,0.0,0.0023710990790277,6.05550170007518e-08,0.744561016559601,0.164485320448875,7.98025848780526e-06,0.118380308151245,0.05259894952178,0.43023756146431,-0.572684256831805,1.90460119442064,2.23621032714844,0.838225879669189
Subject3,Plasmablast,D4,4.0,1,0.0738444253802299,0.0,0.0002641681348904,8.33799931569956e-05,0.751360535621643,0.0976386144757271,0.0,0.173282161355019,0.0374832004308701,0.415292531251907,-0.310833463668823,1.66374167617486,2.14187324523926,0.865340379079183
Subject3,Plasmablast,D6,6.0,2,0.0001423681214873584,8.0174695540336e-06,0.005580191856442888,0.04209426145560259,0.7126611769199375,0.16822229698300348,3.43812016581069e-05,0.134911239147186,0.20169964060187365,0.361980855464935,-0.414895803928375,1.78829364630641,2.37186273574829,0.6730885998407995
Subject3,T_cell,D0,0.0,81,0.09642244628296016,0.0021497162391891787,0.01827136920907214,0.01618068148675764,0.05723301065917674,0.613422065237422,0.28622530179507766,0.0038920616736064484,0.04275753425001079,0.009916739207105698,-0.09278540501869265,2.043140032273992,2.585154155213156,-0.1478783419838658
Subject3,T_cell,D10,10.0,55,0.08427788001787456,0.0004971372355839735,0.20441027893261474,0.007849290592776068,0.0774940027053702,0.6112472149458799,0.28696445632614825,0.0024087950071971483,0.038070500159178795,0.005293605777962074,1.0490639000516948,1.7224384970479198,2.3593482305353337,-0.17132257374850185
Subject3,T_cell,D14/15,14.5,59,0.06569655437729642,0.0010144886878864661,0.1595092589761746,0.01881313980848236,0.09613064699038598,0.6342941569440635,0.30010044841944006,0.0036845185285929887,0.0395601025390046,0.007763568465658867,0.6457153458514455,1.6968820182892006,2.0270349509029066,-0.1838078939712654
Subject3,T_cell,D2,2.0,77,0.08175728821510786,0.0031899669534665156,0.01573977186556633,0.04899050490953321,0.09881959930073929,0.6725537788558316,0.25017422626049,0.004381555199006752,0.032460218114111726,0.009956916665838018,-0.09065755823473906,2.0860872137871973,2.591989963581036,-0.1630527838122793
Subject3,T_cell,D28,28.0,59,0.09012039416529467,0.0022345030724387036,0.021649383800557816,0.0085761966634794,0.045750922631431795,0.5991074915154505,0.24558069551459102,0.005887596967171773,0.05908938247514273,0.009512918684281408,-0.09852265137063582,2.0902386740061374,2.386094603457694,-0.17360243820874702
