subject,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject5,D10,10.0,200,Pattern1,0.192464758460087
Subject5,D10,10.0,200,Pattern2,0.09398395176038946
Subject5,D10,10.0,200,Pattern3,0.16368226832828445
Subject5,D10,10.0,200,Pattern4,0.20666263872859122
Subject5,D10,10.0,200,Pattern5,0.06806897152041898
Subject5,D10,10.0,200,Pattern6,0.031942154602076445
Subject5,D10,10.0,200,Pattern7,0.26876241267284334
Subject5,D10,10.0,200,Pattern8,0.054586615591842226
Subject5,D10,10.0,200,Pattern9,0.0887911043131634
Subject5,D10,10.0,200,Pattern10,0.08995402032360232
Subject5,D14/15,14.5,200,Pattern1,0.14208015830307397
Subject5,D14/15,14.5,200,Pattern2,0.09071614811771615
Subject5,D14/15,14.5,200,Pattern3,0.18883083302207526
Subject5,D14/15,14.5,200,Pattern4,0.29622317531215786
Subject5,D14/15,14.5,200,Pattern5,0.1394330232947989
Subject5,D14/15,14.5,200,Pattern6,0.038226228553713056
Subject5,D14/15,14.5,200,Pattern7,0.2807483858844445
Subject5,D14/15,14.5,200,Pattern8,0.051344207997172334
Subject5,D14/15,14.5,200,Pattern9,0.14797444706423776
Subject5,D14/15,14.5,200,Pattern10,0.045432631408260545
Subject5,D2,2.0,200,Pattern1,0.2868490422415112
Subject5,D2,2.0,200,Pattern2,0.08488300005634301
Subject5,D2,2.0,200,Pattern3,0.026490364573977777
Subject5,D2,2.0,200,Pattern4,0.19076469608350424
Subject5,D2,2.0,200,Pattern5,0.09780642094774195
Subject5,D2,2.0,200,Pattern6,0.04331477961163536
Subject5,D2,2.0,200,Pattern7,0.26302446671178364
Subject5,D2,2.0,200,Pattern8,0.06168073202801153
Subject5,D2,2.0,200,Pattern9,0.10720019784187451
Subject5,D2,2.0,200,Pattern10,0.07818864187687026
Subject5,D28,28.0,200,Pattern1,0.2618119573413131
Subject5,D28,28.0,200,Pattern2,0.03852095666812148
Subject5,D28,28.0,200,Pattern3,0.012478159312509998
Subject5,D28,28.0,200,Pattern4,0.2783743681263178
Subject5,D28,28.0,200,Pattern5,0.06072091446866074
Subject5,D28,28.0,200,Pattern6,0.06505660171857156
Subject5,D28,28.0,200,Pattern7,0.21916763147917845
