,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
YARS,0.1413724720478058,1.6941141439019702e-05,0.21485984325408936,0.2462245374917984,0.4680732488632202,0.06719275563955307,0.0659114271402359,0.05579198896884918,0.24148543179035187,0.03935965895652771
S100PBP,0.00012991712719667703,6.891294469824061e-05,0.047518059611320496,0.024554206058382988,0.2516319453716278,0.07383788377046585,0.05748344212770462,0.052973467856645584,0.02691483683884144,0.02971769869327545
RNF19B,0.06597066670656204,0.6809632182121277,0.10194817185401917,0.061416614800691605,0.11517501622438431,2.9260812880238518e-05,1.1281344995950349e-06,0.23942075669765472,2.8084361474611796e-05,2.426584433123935e-05
AZIN2,0.00013044007937423885,5.432599209598266e-06,6.110832941885747e-07,4.9751237384043634e-05,0.10917270183563232,0.00013891595881432295,2.6549916583462618e-05,1.2370957847451791e-05,1.605067154741846e-05,0.004806694574654102
CLSPN,0.00011251583782723173,6.915028734510997e-06,5.5663116654613987e-05,0.03338071331381798,0.13292016088962555,1.6385321941925213e-05,1.0722794741013786e-06,3.7673876249755267e-06,0.008308719843626022,1.872962457127869e-05
SH3D21,6.745960854459554e-05,0.2147892564535141,0.0,8.068068564170972e-05,0.026575982570648193,0.0002460209943819791,0.0001264669408556074,0.0001566103455843404,8.3155700849602e-06,0.00025306764291599393
RP11-268J15.5,4.3010117224184796e-05,0.0834985002875328,1.0220763215329498e-05,0.00011350059503456578,0.0002954687224701047,0.00014727241068612784,6.004666647640988e-05,7.5969219324179e-05,2.3893240722827613e-05,0.00020559925178531557
STK40,0.2663821876049042,0.7770938873291016,0.04059985280036926,0.07817503809928894,0.23547857999801636,3.156108974167182e-08,0.001637450186535716,0.267863929271698,0.05927743390202522,0.12125708162784576
CSF3R,2.33908372138103e-06,0.9818190932273865,0.0,0.0,2.389075689279707e-06,3.217939956812188e-05,2.6992569473804906e-05,1.1537989377975464,5.597218660113867e-06,7.562167638752726e-07
CDCA8,3.7895984860369936e-05,1.843991230998654e-05,7.992947939783335e-05,2.419934025965631e-05,0.07217293232679367,7.257541437866166e-05,2.669747846084647e-05,1.2640483873838093e-05,0.00011183830793015659,1.0849179489014205e-05
MTF1,0.018527619540691376,0.45182400941848755,0.11067210882902145,0.12933146953582764,0.23796901106834412,0.055980049073696136,0.07837924361228943,0.19198481738567352,0.0027675130404531956,0.07570705562829971
PABPC4,0.1284400224685669,0.5282091498374939,0.0,0.2821139991283417,0.43882066011428833,0.20580430328845978,0.22905990481376648,0.345552533864975,0.0,0.14640064537525177
BMP8B,0.0001073007078957744,0.0002462561533320695,0.0003478189464658499,6.139944889582694e-05,0.03528658300638199,7.901028584456071e-05,1.2914070794067811e-05,0.0003773885255213827,2.2605965568800457e-05,0.00016754672105889767
OXCT2,4.4141757825855166e-05,0.0005210863891988993,0.0002685779763851315,9.732184844324365e-05,0.04110601544380188,3.591232234612107e-05,2.5588777134544216e-05,3.085502976318821e-05,5.1019273087149486e-05,0.00024832511553540826
RP1-118J21.25,0.00024284720711875707,0.0003667893470264971,0.00019603906548582017,8.231741230702028e-05,0.0011340249329805374,0.00021241266222205013,9.90339249256067e-05,0.0006259835790842772,0.0002825415867846459,0.00041936032357625663
MYCL,1.5066839296196122e-06,6.782042305530922e-08,0.0,0.0,0.07553582638502121,2.2935073502594605e-06,0.0,0.25095826387405396,0.0,0.00021435428061522543
MFSD2A,7.310268870241998e-07,0.37728026509284973,0.0035409179981797934,0.06514570862054825,0.10274386405944824,1.375089595967438e-05,7.68742393120192e-06,0.00033855700166895986,0.0,0.00043309287866577506
PPT1,0.16534605622291565,0.45733317732810974,0.08667592704296112,0.0,0.29600751399993896,0.17804522812366486,0.1390988677740097,0.8714271783828735,7.729952812951524e-06,0.048278406262397766
SMAP2,0.039662111550569534,0.3076414167881012,0.17408598959445953,0.3058372735977173,0.3261098563671112,0.10363581031560898,0.5439214706420898,0.6344327926635742,0.07897833734750748,0.4233609735965729
RP11-656D10.3,0.0005839052610099316,0.0011480379616841674,0.00012835933011956513,0.00013336283154785633,0.0026273338589817286,0.00015891407383605838,0.00011785896640503779,0.000846742419525981,0.00012950909149367362,0.00041286947089247406
CITED4,2.547091604299112e-08,0.0003980758774559945,8.048887684708461e-05,4.806893412023783e-05,0.06798192113637924,0.031246069818735123,6.945007044123486e-05,0.10286842286586761,6.737690910085803e-06,3.3325782169413287e-06
CTPS1,0.0041090925224125385,1.6503459221439698e-07,1.2011072612949647e-05,0.1626698523759842,0.29960814118385315,0.0,0.10527274012565613,5.272934231470572e-07,0.07640201598405838,0.0004591532633639872
HIVEP3,0.0005338163464330137,0.2169579565525055,0.0763915404677391,0.05533410981297493,0.25834470987319946,4.5549935748567805e-05,7.94134903117083e-05,0.06971748173236847,0.12288957834243774,0.031240615993738174
CCDC30,2.7586544092628174e-05,6.091053728596307e-05,8.494711073581129e-05,9.330625471193343e-05,0.08648059517145157,0.031439293175935745,2.886593028961215e-05,0.019157998263835907,1.9352826711838134e-05,0.00022792842355556786
