broad_cell_type,timepoint_merged,day_merged_numeric,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
NK_cell,D6,6.0,0.08382238376967942,0.005139070745696146,0.02048506403763254,0.14842433866036012,0.08702032947317455,0.3427715765590268,0.03458217997087994,0.006870898736385491,0.5347198310223493,0.0194266887857907
NK_cell,D8,8.0,0.059890551571866235,0.003966324081001122,0.025086552163719064,0.08904334612021512,0.09943361235305344,0.43308426631591357,0.03194098829767873,0.007820577751312742,0.6038961018834795,0.0176960715837971
NK_cell,D10,10.0,0.06702423988807364,0.001744302205116112,0.24038576903311829,0.11135500665820022,0.08309798109386946,0.3292058680172809,0.026484409946012557,0.0034589257083130257,0.6234292848068371,0.015889359570919442
NK_cell,D14/15,14.5,0.06266734987842978,0.004639739378219549,0.2032701158718232,0.24403804772888446,0.17419524671205147,0.2523960153981643,0.01470050955277655,0.002981164448485766,0.6283827161726853,0.012417094342947108
NK_cell,D28,28.0,0.05913039037081467,0.0034859118500221247,0.026711393173178367,0.10620725318908687,0.057580586641630814,0.38382904011194474,0.02894758731158221,0.004107413481834419,0.5318665617620045,0.02107231271398519
Neutrophil,D0,0.0,0.014100051055720542,0.000834178009123813,1.8738054374504525e-05,0.000825552192206184,0.03232662007212639,0.00020031087600121586,0.03535542326668898,0.00990252235593895,0.00027085558394901454,0.004315646345882366
Neutrophil,D2,2.0,0.0006150158165837638,0.0062760676979451094,0.0022730440231157447,0.009413598469109274,0.04771574549376965,0.011490539040823932,0.028107426827773452,0.013699073740281165,0.007730218913275166,0.0019886895299350725
Neutrophil,D4,4.0,0.010229836252756285,0.001393214406152765,5.909485579891904e-05,0.009012096821970772,0.04762549102306366,0.00476829372719294,0.04481475362554192,0.01752367830777075,0.006075175909131758,0.00028972072159376693
Neutrophil,D6,6.0,0.002194116849598989,0.0062946125079482345,8.010125773694199e-05,0.0148247965801905,0.05054925417061895,0.0019277584056756798,0.047623979936664305,0.010104937521949372,0.005003260924695496,0.007953812837513397
Neutrophil,D8,8.0,0.005216171280835624,0.00041505133276587003,0.001986477315540469,0.016618314348761487,0.04569434372388059,0.0038105334941178626,0.049642089065855544,0.023212317493744195,0.012886368769841283,0.004983962593541946
Neutrophil,D10,10.0,0.011570922308735021,0.012694718886677947,0.008801475094852781,0.012524926226743727,0.02765058055274494,0.0034494548542625125,0.04232614121519873,0.017066695963421807,0.007465260240678617,0.007611952131924227
Neutrophil,D14/15,14.5,0.0005998240376356989,0.0002737287286436185,0.034120433032512665,0.0005555778698180802,0.010806090431287885,0.0005189823859836906,0.041112978011369705,0.010477082745637745,0.017310722803813405,0.000252280031418195
Neutrophil,D28,28.0,0.0027782269610890416,0.0032332191585737746,0.004109708680578644,0.013900427767525385,0.03783501080000529,0.006758108066523247,0.036509019396775824,0.011560337068658555,0.006832442188004445,0.006091424386340805
Plasmablast,D0,0.0,0.16587743163108826,0.08050137013196945,0.008311729179922622,0.15599280782043934,0.8388508558273315,0.030195072356946184,0.017741900926921517,0.03363672921113903,0.07812851760536432,0.31297121942043304
Plasmablast,D2,2.0,0.10943684242665767,0.03409190794079677,0.008222960712197391,0.025025653474631326,0.6636837184429168,0.057254251837730405,6.50587822065063e-05,0.13477814048528672,0.05773178897798061,0.38821024894714357
Plasmablast,D4,4.0,0.13531174903619103,0.08184909261763096,6.645553907547175e-05,0.07955458773903956,0.5543009229004383,0.024411020854785193,8.127141965985629e-05,0.06098444084636867,0.014400051019038074,0.42614389955997467
Plasmablast,D6,6.0,0.11872174920093433,0.03674083162483536,0.01097332112911579,0.09719982372269224,0.6251632968584696,0.07088436777433789,0.004880017735748273,0.059670259190776655,0.14454136487620417,0.3655699814359347
Plasmablast,D8,8.0,0.14025101251900196,0.026389828938590654,0.02759987745594117,0.061006689872776576,0.5814968198537827,0.03338460319122305,0.012314291321700921,0.0668461307650432,0.01914755856812178,0.2699943669140339
Plasmablast,D10,10.0,0.11810806766152382,0.07363726288402479,0.14245581378539404,0.08171576842899715,0.6436940580606461,0.03633066390951475,0.0018689602104207854,0.026956215719716663,0.022771364495080586,0.3638351360956828
Plasmablast,D14/15,14.5,0.05118198823038256,0.013501580964839378,0.1017747811973095,0.10867365659942152,0.8389679789543152,0.055115077641994505,0.004805093400591431,0.09186945408582688,0.013808924166369252,0.36350818872451784
Plasmablast,D28,28.0,0.0363401398062706,0.0,0.002371099079027772,6.055501700075183e-08,0.7445610165596008,0.16448532044887543,7.980258487805258e-06,0.11838030815124512,0.052598949521780014,0.4302375614643097
T_cell,D0,0.0,0.22927360185601617,0.004561926819064778,0.02643299935114266,0.1417286829219124,0.09682123642451963,0.18358958798876557,0.46898935196718916,0.0028013281112626767,0.04434229846382354,0.011949665507049243
