pattern,rank,gene,weight
Pattern6,19,IL32,3.1810224056243896
Pattern6,20,MT-CYB,3.1628870964050293
Pattern6,21,MT-ND3,3.1568524837493896
Pattern6,22,FOS,3.044360876083374
Pattern6,23,MT-CO3,3.005246639251709
Pattern6,24,JUN,2.9431843757629395
Pattern6,25,MT-ND4L,2.899193286895752
Pattern6,26,DUSP1,2.8713927268981934
Pattern6,27,MTRNR2L12,2.8224382400512695
Pattern6,28,TXNIP,2.7354211807250977
Pattern6,29,PFN1,2.634219169616699
Pattern6,30,MYL12A,2.591049909591675
Pattern6,31,CD3E,2.5417892932891846
Pattern6,32,MT-ND1,2.489766836166382
Pattern6,33,MT-ND4,2.3792495727539062
Pattern6,34,FTL,2.3438758850097656
Pattern6,35,CORO1A,2.1456034183502197
Pattern6,36,PTMA,2.1230552196502686
Pattern6,37,ACTG1,2.0858654975891113
Pattern6,38,TSC22D3,2.0788469314575195
Pattern6,39,S100A6,1.9239288568496704
Pattern6,40,IFITM1,1.90603506565094
Pattern6,41,ZFP36L2,1.8621960878372192
Pattern6,42,ITM2B,1.8520228862762451
Pattern6,43,LDHB,1.8232417106628418
Pattern6,44,H3F3B,1.7422654628753662
Pattern6,45,SH3BGRL3,1.7236379384994507
Pattern6,46,UBC,1.7173527479171753
Pattern6,47,PPIA,1.6483056545257568
Pattern6,48,S100A4,1.6231472492218018
Pattern6,49,CD3D,1.5976990461349487
Pattern6,50,KLF6,1.578408122062683
Pattern7,1,MALAT1,5.868567943572998
Pattern7,2,EEF1A1,5.799246311187744
Pattern7,3,RPS12,5.498528480529785
Pattern7,4,RPS8,5.030872821807861
Pattern7,5,MT-CO2,4.682730197906494
Pattern7,6,B2M,4.425623893737793
Pattern7,7,MT-CO3,4.3626227378845215
Pattern7,8,MT-ATP6,4.294053554534912
Pattern7,9,MT-CO1,4.176082611083984
Pattern7,10,MT-ND3,4.162175178527832
Pattern7,11,MT-ND4L,3.9830241203308105
Pattern7,12,RPLP0,3.8638360500335693
Pattern7,13,TMSB4X,3.853184461593628
Pattern7,14,MT-CYB,3.80605411529541
Pattern7,15,RPS2,3.786010265350342
Pattern7,16,TMSB10,3.675105571746826
Pattern7,17,AC090498.1,3.458095073699951
Pattern7,18,FTH1,3.445145845413208
Pattern7,19,PTMA,3.3976619243621826
Pattern7,20,HLA-B,3.36830735206604
Pattern7,21,HLA-A,3.124117612838745
Pattern7,22,MT-ND1,3.0478596687316895
Pattern7,23,CCR7,2.84018874168396
Pattern7,24,MT-ND4,2.7969493865966797
Pattern7,25,VIM,2.707963466644287
Pattern7,26,H3F3A,2.489515781402588
Pattern7,27,MT-ND2,2.2657172679901123
Pattern7,28,IL7R,2.240347146987915
Pattern7,29,LTB,2.1496405601501465
Pattern7,30,PPIA,2.1337151527404785
Pattern7,31,FTL,2.034491777420044
Pattern7,32,ACTB,2.0100271701812744
Pattern7,33,PNRC1,1.9210774898529053
Pattern7,34,TAGLN2,1.8764568567276
Pattern7,35,LDHB,1.8454588651657104
Pattern7,36,CD3E,1.8067229986190796
Pattern7,37,CD7,1.7983757257461548
Pattern7,38,GIMAP7,1.7330354452133179
Pattern7,39,MTRNR2L12,1.646064043045044
Pattern7,40,CD55,1.539588212966919
Pattern7,41,IFITM1,1.5378875732421875
Pattern7,42,ABLIM1,1.4601519107818604
Pattern7,43,ACTG1,1.4172356128692627
Pattern7,44,HMGB1,1.406447410583496
Pattern7,45,UBC,1.371299386024475
Pattern7,46,RGCC,1.3412631750106812
Pattern7,47,SELL,1.3178452253341675
Pattern7,48,CD37,1.308854103088379
Pattern7,49,NFKBIA,1.285704255104065
Pattern7,50,PFN1,1.2629178762435913
Pattern8,1,FTL,6.138574600219727
Pattern8,2,CST3,4.990140438079834
Pattern8,3,FTH1,4.78966760635376
Pattern8,4,ACTB,4.571266174316406
Pattern8,5,TMSB4X,4.532500267028809
Pattern8,6,TYROBP,4.474396228790283
Pattern8,7,EEF1A1,4.4433183670043945
Pattern8,8,S100A6,4.4070539474487305
Pattern8,9,MT-CO1,4.405430316925049
Pattern8,10,S100A4,4.378988265991211
Pattern8,11,LYZ,4.353824138641357
Pattern8,12,MT-CO2,4.305202484130859
Pattern8,13,TMSB10,4.090062618255615
Pattern8,14,MALAT1,4.004926681518555
Pattern8,15,CD74,3.957092046737671
Pattern8,16,B2M,3.9160914421081543
Pattern8,17,MT-ND3,3.910306930541992
Pattern8,18,MT-CO3,3.8428425788879395
Pattern8,19,FOS,3.803248882293701
Pattern8,20,HLA-B,3.735133647918701
Pattern8,21,MT-ATP6,3.7337374687194824
Pattern8,22,MT-ND1,3.6540842056274414
Pattern8,23,SH3BGRL3,3.5809590816497803
Pattern8,24,PSAP,3.572260856628418
Pattern8,25,RPS12,3.5130293369293213
Pattern8,26,RPS8,3.4206409454345703
Pattern8,27,CTSS,3.3826820850372314
Pattern8,28,AIF1,3.3196794986724854
Pattern8,29,GAPDH,3.299968957901001
Pattern8,30,OAZ1,3.262040615081787
Pattern8,31,MT-ND4,3.2473626136779785
Pattern8,32,JUNB,3.2013001441955566
Pattern8,33,HLA-A,3.198803424835205
Pattern8,34,COTL1,3.175621747970581
Pattern8,35,FCN1,3.1702358722686768
Pattern8,36,H3F3A,3.1648261547088623
Pattern8,37,DUSP1,3.1228020191192627
Pattern8,38,MT-ND2,3.1095573902130127
Pattern8,39,NEAT1,3.0663270950317383
Pattern8,40,S100A11,3.039609432220459
Pattern8,41,S100A9,2.9624545574188232
Pattern8,42,VIM,2.9144017696380615
Pattern8,43,MT-CYB,2.8434174060821533
Pattern8,44,SRGN,2.8104147911071777
Pattern8,45,FCER1G,2.7890138626098633
Pattern8,46,HLA-DRB1,2.7689552307128906
Pattern8,47,ITGB2,2.737475633621216
Pattern8,48,PTMA,2.7262260913848877
Pattern8,49,GPX1,2.720672845840454
Pattern8,50,PFN1,2.7199995517730713
Pattern9,1,NKG7,6.709939479827881
Pattern9,2,B2M,4.391615390777588
Pattern9,3,MT-CO2,4.204266548156738
Pattern9,4,CST7,4.128188610076904
Pattern9,5,CCL5,4.051266670227051
